,gtfs_route_id,service_date,peak_offpeak_ind,otp_numerator,otp_denominator
392,43,2018-02-28,PEAK,73.0,138.0
393,1,2018-02-28,OFF_PEAK,843.0,1143.0
394,1,2018-02-28,PEAK,300.0,408.0
395,751,2018-02-28,OFF_PEAK,1168.0,1392.0
396,751,2018-03-01,OFF_PEAK,1041.0,1367.0
397,751,2018-03-01,PEAK,359.0,494.0
398,749,2018-03-01,OFF_PEAK,1421.0,1868.0
399,1,2018-03-01,OFF_PEAK,897.0,1268.0
400,1,2018-03-01,PEAK,328.0,446.0
401,43,2018-03-01,OFF_PEAK,155.0,348.0
402,43,2018-03-01,PEAK,50.0,140.0
403,749,2018-03-01,PEAK,577.0,786.0
404,1,2018-03-02,PEAK,245.0,362.0
405,43,2018-03-02,OFF_PEAK,209.0,359.0
406,751,2018-03-02,OFF_PEAK,850.0,1035.0
407,751,2018-03-02,PEAK,290.0,408.0
408,749,2018-03-02,PEAK,548.0,636.0
409,749,2018-03-02,OFF_PEAK,1238.0,1511.0
410,1,2018-03-02,OFF_PEAK,710.0,915.0
411,43,2018-03-02,PEAK,65.0,140.0
412,751,2018-03-03,OFF_PEAK,1143.0,1472.0
413,749,2018-03-03,OFF_PEAK,2215.0,2945.0
414,1,2018-03-03,OFF_PEAK,1170.0,1684.0
415,43,2018-03-03,OFF_PEAK,269.0,509.0
416,43,2018-03-04,OFF_PEAK,235.0,396.0
417,1,2018-03-04,OFF_PEAK,869.0,1199.0
418,749,2018-03-04,OFF_PEAK,2209.0,2814.0
419,751,2018-03-04,OFF_PEAK,1208.0,1510.0
420,751,2018-03-05,PEAK,331.0,399.0
421,751,2018-03-05,OFF_PEAK,1097.0,1244.0
422,749,2018-03-05,PEAK,587.0,737.0
423,749,2018-03-05,OFF_PEAK,1723.0,2184.0
424,1,2018-03-05,OFF_PEAK,961.0,1247.0
425,1,2018-03-05,PEAK,333.0,486.0
426,43,2018-03-05,PEAK,83.0,140.0
427,43,2018-03-05,OFF_PEAK,221.0,356.0
428,43,2018-03-06,OFF_PEAK,196.0,351.0
429,43,2018-03-06,PEAK,39.0,137.0
430,1,2018-03-06,PEAK,338.0,417.0
431,749,2018-03-06,OFF_PEAK,1556.0,1964.0
432,749,2018-03-06,PEAK,498.0,609.0
433,751,2018-03-06,OFF_PEAK,890.0,1088.0
434,751,2018-03-06,PEAK,253.0,358.0
435,1,2018-03-06,OFF_PEAK,905.0,1243.0
436,751,2018-03-07,PEAK,329.0,422.0
437,751,2018-03-07,OFF_PEAK,1111.0,1279.0
438,749,2018-03-07,PEAK,518.0,616.0
439,749,2018-03-07,OFF_PEAK,1499.0,1826.0
440,1,2018-03-07,OFF_PEAK,1114.0,1426.0
441,1,2018-03-07,PEAK,426.0,553.0
442,43,2018-03-07,PEAK,83.0,140.0
443,43,2018-03-07,OFF_PEAK,206.0,357.0
444,43,2018-03-08,PEAK,89.0,140.0
445,43,2018-03-08,OFF_PEAK,231.0,356.0
446,1,2018-03-08,PEAK,310.0,424.0
447,751,2018-03-08,PEAK,280.0,340.0
448,749,2018-03-08,PEAK,565.0,653.0
449,749,2018-03-08,OFF_PEAK,1805.0,2161.0
